ID,Family,Taxon,Species,OvS,OvL,PuL,Vol_min,Vol_max,AnA,WIn,WiV,HPS,TrC,HSI,HPT,HPG,HPP,HPA,LEv,HPSi,ELT,ELL,ELA,FMo_Min,FMo_Max,FMo_Average,FFM,LFM,ADF,ADR,MLT,MLL,BaT,BaS
14,Papilionidae,Zerynthia_rumina,Zerynthia rumina,P,SuSsTs,BuGl,1,1.5,N,0.025,-0.019,1,2,0.577,Hp,ShLi,Le,Ol,GlFl,NA,SeSb,ShThLi,NA,3,10,5,2,11,Hf,NA,Pa,BeShGr,Da,Be
15,Papilionidae,Zerynthia_polyxena,Zerynthia polyxena,P,BuSuSsTs,BuGlFl,1,1,N,0.031,0.001,1,2,0.500,Hp,ShLi,NA,NA,Fl,NA,SeSb,ShThLi,NA,4,4,4,3,6,Hf,ShExHf,Pa,BeShGr,Da,BeShGr
16,Papilionidae,Zerynthia_cassandra,Zerynthia cassandra,P,NA,NA,1,1,N,0.026,-0.012,1,2,0.577,Hp,ShLi,Le,NA,Fl,NA,SeSb,ShTh,LiPs,4,4,4,3,6,Hf,NA,Pa,Sh,Da,Gr
17,Hesperiidae,Heteropterus_morpheus,Heteropterus morpheus,L,SsTs,Fl,1,1,N,-0.025,-0.011,4,3,0.250,Hp,ShTh,Le,NA,Fl,NA,Se,ShTh,NA,2,4,3,5,8,Hf,NA,NA,NA,Da,ShGrTh
18,Hesperiidae,Carterocephalus_silvicola,Carterocephalus silvicola,L,SsTs,Fl,1,1,N,-0.055,0.069,5,3,0.200,Hp,ShTh,Le,NA,Fl,NA,Se,ShTh,NA,2,4,2.5,5,8,Hf,NA,NA,NA,Da,ShGrThSb
19,Hesperiidae,Carterocephalus_palaemon,Carterocephalus palaemon,L,Ts,GlFl,1,1,N,-0.044,-0.030,7,3,0.126,Hp,ShTh,Le,SiOl,Fl,LpMp,Se,Sh,LiPs,2,4,2.5,4,7,Hf,GrExHnHf,PnPt,ThPs,Da,BeShGr
20,Hesperiidae,Pelopidas_thrax,Pelopidas thrax,LP,SsTs,GlFl,3,3,N,-0.023,-0.059,2,3,0.218,AnHp,Th,Le,SiOl,Fl,NA,Se,ShTh,NA,8,12,10,1,12,Hf,NA,NA,NA,NA,ShGr
21,Hesperiidae,Borbo_borbonica,Borbo borbonica,L,SsTs,Fl,1.5,3,N,-0.035,-0.049,2,3,0.333,Hp,ShTh,Le,SiOl,GlFl,NA,Se,Sh,NA,4,6,4.5,6,11,Hf,NA,NA,NA,NA,NA
22,Hesperiidae,Gegenes_pumilio,Gegenes pumilio,L,SsTs,Fl,3,3,N,-0.037,-0.067,5,3,0.354,AnHp,Sh,Le,SiOl,Fl,NA,Se,Sh,NA,9,9,9,3,11,Hf,NA,Pt,ShGr,NA,BeShGr
23,Hesperiidae,Gegenes_nostrodamus,Gegenes nostrodamus,ELPA,SsTs,Fl,3,3,N,-0.031,-0.051,4,3,0.289,AnHp,ShTh,Le,SiOl,Fl,NA,Se,Sh,NA,9,12,9,1,12,HfMi,NA,Pt,RcBeShGr,Da,ShGr
24,Hesperiidae,Ochlodes_sylvanus,Ochlodes sylvanus,L,Ts,Fl,1,2,N,-0.035,0.020,14,4,0.083,Hp,ShTh,Le,Ol,Fl,LpMp,Se,Th,Li,4,4,4,5,8,HfAnMi,GrThSbExHnHf,PaPnPt,ShGrThNsHsPs,Da,BeShGrThSb
25,Hesperiidae,Hesperia_comma,Hesperia comma,EL,SuSs,Gl,1,1,N,-0.036,0.024,4,3,0.333,Hp,Sh,Le,SiOl,GlFl,LpMp,Se,BgSh,Li,2,5,3.5,6,10,Hf,GrSbExHf,PaPnPt,ShNsPs,Da,BeShGr
26,Hesperiidae,Thymelicus_christi,Thymelicus christi,L,NA,Fl,2,3,N,-0.056,-0.036,NA,NA,NA,NA,NA,Le,NA,Fl,NA,NA,NA,NA,9,9,9,2,10,NA,NA,NA,NA,NA,NA
27,Hesperiidae,Thymelicus_acteon,Thymelicus acteon,L,SsTs,Gl,1,2,N,-0.056,0.018,4,3,0.118,AnHp,ShTh,Le,Ol,Fl,LpMp,Sb,Th,Li,3,6,4.5,4,9,Hf,GrThExHnHf,PnPt,ShThNsPs,Da,GrTh
28,Hesperiidae,Thymelicus_hamza,Thymelicus hamza,NA,NA,NA,1,1,N,-0.057,-0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2.5,5,7,NA,NA,NA,NA,NA,NA
29,Hesperiidae,Thymelicus_hyrax,Thymelicus hyrax,NA,NA,NA,1,1,N,-0.031,-0.063,1,4,0.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,5,7,Hf,NA,NA,NA,NA,NA
30,Hesperiidae,Thymelicus_sylvestris,Thymelicus sylvestris,L,SsTs,Gl,1,1,N,-0.045,0.032,6,3,0.101,Hp,ShTh,LeSt,Ol,Fl,LpMp,Sb,Th,Li,3,6,4.5,4,9,HfMi,GrThExHnHf,PnPt,ShThNsPs,Da,ShGrTh
31,Hesperiidae,Thymelicus_lineola,Thymelicus lineola,E,SsTs,Gl,1,1,N,-0.052,0.078,14,4,0.067,Hp,ShTh,Le,NA,Fl,NA,SbLb,ShTh,Li,2,5,3.5,5,9,HfMi,GrThHnHf,PnPt,ShThNsPs,Da,BeGrTh
32,Hesperiidae,Spialia_phlomidis,Spialia phlomidis,L,NA,NA,1,1,N,-0.039,-0.028,1,1,0.500,Hp,Sh,NA,NA,NA,NA,NA,NA,NA,4,4,4,6,9,NA,NA,NA,NA,NA,NA
33,Hesperiidae,Spialia_sertorius,Spialia sertorius,L,Ss,Fl,1,3,N,-0.059,0.052,3,2,1.000,Hp,Sh,Le,NA,GlFl,NA,Se,Sh,NA,5,9,7,2,10,Hf,NA,Pt,RcBeSh,Da,BeSh
34,Hesperiidae,Spialia_therapne,Spialia therapne,NA,NA,Fl,2,2,N,-0.061,0.033,1,1,1.000,NA,NA,NA,NA,GlFl,NA,Se,Sh,NA,5,6,5,4,9,NA,NA,Pt,BeShGrTh,NA,NA
35,Hesperiidae,Spialia_rosae,Spialia rosae,NA,NA,NA,1,2,N,-0.058,0.000,1,2,NA,Hp,Sh,NA,NA,NA,NA,Se,Sb,NA,4,7,5.5,4,10,Hf,NA,NA,NA,NA,NA
36,Hesperiidae,Spialia_orbifer,Spialia orbifer,L,NA,NA,1,2,N,-0.054,0.018,1,3,0.224,Hp,Sh,NA,NA,NA,NA,NA,NA,NA,4,7,5.5,4,10,Hf,NA,NA,NA,NA,NA
37,Hesperiidae,Carcharodus_tripolinus,Carcharodus tripolinus,L,SuSs,Fl,3,3,N,-0.036,0.066,1,1,1.000,BiHp,Th,Le,Ol,Fl,NA,Se,ShTh,NA,7,7,7,3,9,Hf,NA,NA,NA,Da,NA
38,Hesperiidae,Carcharodus_alceae,Carcharodus alceae,L,SsTs,Fl,2,3,N,-0.041,0.059,2,4,0.167,BiAnHp,ShTh,Le,NA,Fl,NA,Se,ShTh,Li,6,10,8,2,11,Hf,NA,Pt,NA,Da,BeSh
39,Hesperiidae,Muschampia_cribrellum,Muschampia cribrellum,L,NA,NA,1,1,N,-0.038,0.011,1,4,0.289,BiAnHpWp,ShThSb,NA,NA,NA,NA,NA,NA,NA,3,3,3,5,7,HfMiHc,NA,NA,NA,NA,NA
40,Hesperiidae,Muschampia_proto,Muschampia proto,E,Ss,Fl,1,1,N,-0.033,0.050,1,2,0.577,HpWp,ShThSb,FlLeBu,Ol,GlFl,LpMpSs,Se,ShThSb,Li,3,5,4,5,9,HfMi,StGrThSb,NA,NA,Da,BeSh
41,Hesperiidae,Muschampia_tessellum,Muschampia tessellum,NA,NA,NA,1,1,N,-0.016,0.003,2,2,0.500,Hp,ShTh,NA,NA,NA,NA,NA,NA,NA,4,5,4.5,4,8,Hf,NA,NA,NA,NA,NA
42,Hesperiidae,Muschampia_mohammed,Muschampia mohammed,NA,NA,NA,2,3,N,-0.034,0.009,1,2,0.577,Wp,Sb,NA,NA,NA,NA,NA,NA,NA,6,8,7,3,10,NA,NA,NA,NA,NA,NA
43,Hesperiidae,Carcharodus_lavatherae,Carcharodus lavatherae,L,Ss,Fl,1,1,N,-0.032,0.013,2,4,0.408,Hp,ShTh,FlLeBu,NA,GlFl,NA,Se,Sh,NA,3,5,4,5,9,HfMi,NA,Pt,RcSh,Da,ShTh
44,Hesperiidae,Carcharodus_orientalis,Carcharodus orientalis,NA,NA,NA,2,3,N,-0.038,-0.042,3,2,0.577,AnHpWp,ShSb,NA,NA,NA,NA,NA,NA,NA,4,4,4.5,5,8,NA,NA,NA,NA,NA,NA
45,Hesperiidae,Carcharodus_floccifera,Carcharodus floccifera,L,Ss,Fl,2,2,N,-0.035,-0.010,1,4,0.174,AnHp,ShTh,Le,NA,Fl,NA,Se,ShTh,NA,4,5,4.5,4,8,HfMi,NA,Pt,RcSh,Da,BeShGr
46,Hesperiidae,Carcharodus_stauderi,Carcharodus stauderi,NA,NA,NA,3,3,N,-0.043,0.027,3,1,0.289,Hp,Sh,NA,NA,NA,NA,NA,NA,NA,8,8,8,3,10,NA,NA,NA,NA,NA,NA
47,Hesperiidae,Carcharodus_baeticus,Carcharodus baeticus,L,Ss,Fl,2,3,N,-0.043,-0.009,2,3,0.408,Hp,ShTh,Le,Ol,GlFl,LpMpSs,Se,Sh,Li,2,6,4,5,10,HfMi,NA,NA,NA,Da,BeSh
48,Hesperiidae,Erynnis_tages,Erynnis tages,L,Ss,GlFl,1,2,N,-0.042,-0.033,3,4,0.129,AnHp,Sh,Le,SiOl,Fl,MpSs,Se,Sh,Li,2,6,4,4,9,HfHc,StGrThHf,PnPt,ShThPs,Da,BeShGrTh
49,Hesperiidae,Erynnis_marloyi,Erynnis marloyi,L,NA,NA,1,3,N,-0.035,0.007,2,1,1.000,Hp,Sh,NA,NA,NA,NA,NA,NA,NA,4,8,6,3,10,Hf,NA,NA,NA,NA,NA
50,Hesperiidae,Pyrgus_malvoides,Pyrgus malvoides,P,Ss,Gl,1,2,N,-0.061,0.039,4,3,NA,Hp,Sh,Le,NA,GlFl,NA,Se,Sh,NA,2,5,3.5,4,8,HfMi,NA,NA,NA,NA,NA
51,Hesperiidae,Pyrgus_malvae,Pyrgus malvae,P,Ss,GlFl,1,2,N,-0.058,0.000,4,3,0.192,Hp,Sh,Le,SiOl,Fl,MpSs,Se,Sh,Li,3,7,5,3,9,HfHc,GrShThSbHf,PnPt,ShGrSbPs,Da,BeShGr
52,Hesperiidae,Pyrgus_carthami,Pyrgus carthami,L,NA,Fl,1,1,N,-0.031,0.006,1,4,0.218,AnHp,ShTh,Le,NA,GlFl,NA,SeSb,Sh,NA,5,5,5,5,9,HfMi,NA,NA,NA,Da,BeSh
53,Hesperiidae,Pyrgus_sidae,Pyrgus sidae,L,Su,Gl,1,1,N,-0.028,0.014,1,4,0.316,AnHp,Sh,FlLeBu,Ol,Fl,MpSs,Se,ShTh,Li,3,5,4,4,8,HfMi,NA,Pa,ShThSbHs,Da,BeShGrThSb
54,Hesperiidae,Pyrgus_centaureae,Pyrgus centaureae,L,NA,NA,1,1,N,-0.043,0.002,1,1,1.000,Hp,Sh,NA,NA,NA,NA,NA,Sh,NA,2,3,2.5,6,8,Hf,NA,NA,NA,Da,BeSh
55,Hesperiidae,Pyrgus_cacaliae,Pyrgus cacaliae,L,NA,NA,1,1,N,-0.039,-0.028,2,2,0.577,Hp,Sh,FlLe,NA,NA,NA,NA,NA,NA,2,3,2.5,6,8,Hf,NA,NA,NA,NA,NA
56,Hesperiidae,Pyrgus_andromedae,Pyrgus andromedae,L,NA,NA,1,1,N,-0.037,-0.016,3,3,0.289,HpWp,ShSb,NA,NA,NA,NA,NA,NA,NA,2,4,3,5,8,Hf,NA,NA,NA,NA,NA
57,Hesperiidae,Pyrgus_serratulae,Pyrgus serratulae,L,Ss,Fl,1,1,N,-0.045,0.029,1,2,0.316,Hp,Sh,Le,NA,GlFl,NA,Se,Sh,NA,2,4,3,5,8,Hf,NA,NA,NA,Da,BeSh
58,Hesperiidae,Pyrgus_armoricanus,Pyrgus armoricanus,L,SsSb,BuGl,1,2,N,-0.049,-0.005,4,4,0.183,HpWp,ShSb,Le,NA,FlSl,NA,Se,ShSb,NA,3,8,5.5,3,10,HfMi,NA,NA,NA,Da,BeShTh
59,Hesperiidae,Pyrgus_alveus,Pyrgus alveus,L,SuTs,FlSl,1,1,N,-0.038,0.052,1,4,0.354,Wp,ShSb,Le,NA,Fl,NA,Se,ShSb,NA,2,5,3.5,5,9,Hf,NA,NA,NA,Da,BeSh
60,Hesperiidae,Pyrgus_warrenensis,Pyrgus warrenensis,L,NA,NA,1,1,N,-0.056,-0.034,1,2,0.577,Wp,Sb,NA,NA,NA,NA,NA,NA,NA,2,2,2,7,8,NA,NA,NA,NA,NA,NA
61,Hesperiidae,Pyrgus_foulquieri,Pyrgus foulquieri,L,NA,NA,1,1,N,-0.037,-0.069,2,2,0.500,Wp,Sb,NA,NA,NA,NA,NA,NA,NA,2,4,3,6,9,Hf,NA,NA,NA,NA,NA
62,Hesperiidae,Pyrgus_onopordi,Pyrgus onopordi,L,Ss,Fl,2,3,N,-0.052,0.039,2,2,0.577,Hp,Sh,Le,NA,GlFl,NA,Se,Sh,NA,7,7,7,4,10,HfMiHc,NA,Pt,RcSh,Da,BeShGr
63,Hesperiidae,Pyrgus_carlinae,Pyrgus carlinae,L,Ss,NA,1,1,N,-0.044,-0.034,1,2,0.500,Hp,Sh,NA,NA,NA,NA,NA,NA,NA,2,2,2,7,8,Hf,NA,PnPt,NA,Da,NA
64,Hesperiidae,Pyrgus_cirsii,Pyrgus cirsii,EL,SuSs,Gl,1,1,N,-0.045,-0.042,1,2,0.408,NA,NA,Le,Si,GlFl,NA,Se,BgSh,NA,2,4,3,5,8,HfMiHc,NA,NA,NA,Da,BeShGr
65,Hesperiidae,Pyrgus_cinarae,Pyrgus cinarae,L,NA,NA,1,1,N,-0.036,-0.072,1,1,1.000,Hp,Sh,NA,NA,NA,NA,NA,NA,NA,3,5,4,5,9,Hf,NA,NA,NA,NA,NA
66,Pieridae,Leptidea_duponcheli,Leptidea duponcheli,P,Ts,GlFl,2,2,N,-0.008,0.016,3,3,0.408,AnHp,Sh,Le,SiOl,GlFl,NA,Se,ShTh,NA,5,5,5,4,8,Hf,GrThExHnHf,Pa,ShGrThHs,La,BeShGrTh
67,Pieridae,Leptidea_morsei,Leptidea morsei,P,Ts,Fl,2,2,N,0.010,0.021,1,2,0.577,Hp,ShTh,LeBu,Ol,Fl,NA,Se,Th,NA,5,5,5,4,8,HfMi,GrShThSbExHnHf,Pa,ThHsLs,La,ShGrTh
68,Pieridae,Leptidea_juvernica,Leptidea juvernica,P,SsTs,Fl,1,1,N,0.008,-0.081,3,3,NA,NA,NA,LeSt,NA,Fl,NA,Se,ShTh,Sh,3,3,3,4,6,HfSfHc,GrShThExHf,Pa,NA,La,NA
69,Pieridae,Leptidea_sinapis,Leptidea sinapis,P,Ts,Fl,1,3,N,-0.003,0.076,4,3,0.144,BiAnHp,ShTh,Le,NA,Fl,NA,Se,ShTh,NA,4,8,6,3,10,HfMiHc,ThExHnHf,Pa,ShGrThNsHsPs,La,GrTh
70,Pieridae,Leptidea_reali,Leptidea reali,P,Ts,NA,1,3,N,0.000,0.041,2,1,1.000,Hp,Sh,Le,NA,NA,NA,NA,NA,NA,4,8,6,3,10,NA,NA,NA,NA,NA,NA
71,Pieridae,Gonepteryx_rhamni,Gonepteryx rhamni,A,SbTrLi,FlSl,1,1,N,0.063,0.028,2,3,0.218,Wp,SbTr,Le,NA,Sl,NA,Se,Sb,NA,7,9,8,1,9,HfSf,TtSbTcHnHf,Pa,ShSbNsHsPs,La,BeShGrThSb
72,Pieridae,Gonepteryx_cleobule,Gonepteryx cleobule,ELPA,SbTr,SlCl,3,3,N,0.080,-0.027,1,2,0.577,Wp,Tr,Le,Ol,SlCl,NA,Se,SbCa,NA,2,12,4,1,12,Hf,TtSbTcHnHf,Pa,SbTc,La,ShSb
73,Pieridae,Gonepteryx_cleopatra,Gonepteryx cleopatra,A,SbTr,Sl,1,3,N,0.061,0.061,1,2,0.577,Wp,SbTr,Le,NA,Sl,NA,Se,Sb,NA,6,8,7.5,2,9,Hf,NA,Pa,SbNsHsPs,La,NA
74,Pieridae,Gonepteryx_maderensis,Gonepteryx maderensis,A,NA,NA,3,3,N,0.067,0.025,1,1,1.000,Wp,Tr,NA,NA,NA,NA,NA,NA,NA,6,12,9,1,12,Sf,NA,NA,NA,NA,NA
75,Pieridae,Gonepteryx_farinosa,Gonepteryx farinosa,A,SbTr,Sl,1,1,N,0.063,-0.001,2,2,0.577,Wp,Sb,Le,Ol,Sl,NA,Se,Sb,NA,11,11,11,1,11,Hf,SbTcHnHf,Pa,SbTc,La,Sb
76,Pieridae,Catopsilia_florella,Catopsilia florella,ELPA,NA,SlCl,3,3,N,0.055,-0.001,1,2,NA,NA,NA,Le,NA,SlCl,NA,SeSb,SbCa,NA,10,12,11,1,12,NA,NA,NA,NA,NA,NA
77,Pieridae,Colias_hyale,Colias hyale,LP,Ss,Fl,2,3,N,0.017,0.036,6,3,0.204,BiAnHpWp,ShThSb,Le,Si,GlFl,NA,Se,ShTh,NA,6,7,6.5,4,10,Hf,GrShThExHnHf,Pa,ShThNsHs,La,ShGr
78,Pieridae,Colias_alfacariensis,Colias alfacariensis,L,SuSs,Gl,2,3,N,0.021,-0.002,3,3,0.167,Hp,ShTh,Le,Si,GlFl,NA,Se,ShTh,NA,6,7,6.5,4,10,HfHc,NA,Pa,ShThNsHs,La,BeShGr
79,Pieridae,Colias_phicomone,Colias phicomone,L,NA,Gl,1,1.5,N,0.015,0.018,3,3,0.169,AnHp,Sh,Le,SiOl,Gl,NA,Se,Sh,NA,3,4,3.5,5,8,Hf,StGrShThSb,Pa,ThSb,La,BeShGr
80,Pieridae,Colias_aurorina,Colias aurorina,L,NA,Sl,1,1,N,0.056,-0.049,2,2,0.577,Hp,Sh,Le,Ol,Fl,NA,Se,Sb,NA,5,5,5,4,8,SfHc,NA,Pa,RcShGrThNsHs,La,Sh
81,Pieridae,Colias_chrysotheme,Colias chrysotheme,L,Ss,Gl,2,3,N,0.012,0.008,2,3,0.408,AnHp,ShTh,Le,Ol,GlFl,NA,Se,ShTh,NA,7,7,7,4,10,Hf,NA,Pa,ShNsHs,La,Sh
82,Pieridae,Colias_erate,Colias erate,LP,NA,NA,2,3,N,0.028,-0.021,1,3,0.113,BiAnHpWp,ShThSb,Le,Si,NA,NA,Se,ShTh,NA,4,5,4.5,5,9,NA,NA,NA,NA,NA,NA
83,Pieridae,Colias_crocea,Colias crocea,LP,SuSs,Fl,3,3,N,0.025,0.065,15,3,0.041,BiAnHpWp,ShThSb,Le,NA,Fl,NA,Se,ShTh,NA,5,9,7,3,11,HfMi,StGrThSbHnHf,Pa,ShNsHs,La,BeSh
84,Pieridae,Colias_myrmidone,Colias myrmidone,L,BuSu,FlSl,2,3,N,0.024,-0.028,1,3,0.316,Wp,Sb,NA,NA,Fl,NA,Se,Th,NA,5,6,5.5,4,9,Hf,NA,Pa,ShGrThSbNsHs,La,ShGrTh
85,Pieridae,Colias_caucasica,Colias caucasica,L,Su,Fl,1,1,N,0.050,-0.038,1,2,0.707,Wp,Sb,Le,Ol,Fl,NA,Se,ShTh,NA,3,3,3,6,8,Hf,NA,Pa,ShThHs,La,ShTh
86,Pieridae,Colias_palaeno,Colias palaeno,EL,BuSu,Fl,1,1,N,0.029,0.002,1,2,0.707,Wp,Sb,Le,SiOl,GlFl,NA,Se,Sh,NA,3,3,3,6,8,HfSf,GrShExHf,Pa,ShNsHs,La,Sh
87,Pieridae,Colias_tyche,Colias tyche,L,SsTs,Gl,1,1,N,0.027,0.002,1,3,0.289,HpWp,ShSbTr,Le,SiOl,Gl,NA,Se,Sh,NA,3,3,3,5,7,HfHc,BgStCoHf,Pa,RcShNsHs,La,BeSh
88,Pieridae,Colias_hecla,Colias hecla,LP,SuSs,Gl,1,1,N,0.009,-0.014,2,3,0.177,AnHpWp,ShSbTr,Le,SiOl,Gl,NA,SeSb,Sh,NA,3,3,3,6,8,Hf,StShThSbHf,Pa,ShNsHs,La,BeSh
89,Pieridae,Colotis_evagore,Colotis evagore,P,Ts,FlSl,3,3,N,-0.025,0.027,1,2,0.707,Wp,Sb,LeBu,Si,Fl,NA,Se,ShTh,NA,9,9,9,2,10,HfSfHc,ShThSbHnHf,Pa,ThSbHs,Da,BeTh
90,Pieridae,Aporia_crataegi,Aporia crataegi,L,Sb,Fl,1,1,N,0.076,0.018,5,3,0.082,Wp,SbTr,Le,Ol,FlSl,MpSs,Lb,Sb,Li,3,5,3.5,4,8,HfErHdMi,ThCoHf,Pa,ThNs,Da,Th
91,Pieridae,Pontia_chloridice,Pontia chloridice,P,BuSu,BuGl,2,3,N,-0.001,-0.051,4,4,0.236,AnHp,Sh,NA,Si,Fl,NA,Se,ShTh,NA,4,8,6,4,11,NA,NA,Pa,RcBeShHs,NA,Be
92,Pieridae,Pontia_callidice,Pontia callidice,P,BuSu,BuGl,1,2,N,0.018,0.023,4,4,0.102,BiAnHpWp,ShThSb,NA,NA,Gl,NA,Se,Sh,NA,4,4,4,5,8,HfHc,NA,NA,NA,NA,NA
93,Pieridae,Pontia_edusa,Pontia edusa,P,NA,NA,3,3,N,0.011,-0.006,4,4,0.102,BiAnHpWp,ShThSb,Le,NA,Gl,NA,Se,ShTh,NA,4,7,5.5,4,10,Hf,NA,NA,NA,Da,BeSh
94,Pieridae,Pontia_glauconome,Pontia glauconome,P,NA,NA,3,3,N,-0.005,-0.013,6,4,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,11.5,1,12,NA,NA,NA,NA,NA,NA
95,Pieridae,Pontia_daplidice,Pontia daplidice,P,SuSsTs,Fl,3,3,N,0.007,0.044,15,4,0.061,BiAnHpWp,ShThSb,FlSt,Ol,Fl,NA,SeSb,ShTh,NA,4,7,5.5,4,10,Hf,StGrShThSbExHf,Pa,RcBeShNsHs,Da,BeShGrTh
96,Pieridae,Pieris_krueperi,Pieris krueperi,P,Su,Gl,3,3,N,0.017,-0.003,1,2,0.707,Hp,Sh,Fl,SiOl,Fl,NA,Se,ShTh,NA,8,8,8,3,10,Hf,ShExHf,NA,RcShPs,Dr,BeSh
97,Pieridae,Pieris_brassicae,Pieris brassicae,P,SuTsSb,FlSl,2,3,N,0.067,0.013,17,3,0.115,BiAnHpWp,ShThSb,Le,Ol,GlFl,NA,SbLb,ShTh,NA,4,10,7,2,11,HfSfHc,ThSbExHnHf,Pa,ThNsHs,Dr,ShThSb
98,Pieridae,Pieris_wollastoni,Pieris wollastoni,NA,NA,NA,3,3,N,0.059,0.016,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,5,11,NA,NA,NA,NA,NA,NA
99,Pieridae,Pieris_cheiranthi,Pieris cheiranthi,ELPA,NA,FlSl,3,3,N,0.077,-0.063,2,3,0.289,AnHp,Sh,Le,Ol,GlFlSl,NA,SbLb,Th,NA,12,12,12,1,12,HfHc,ThSbExHnHf,Pa,ThSbNsHs,Dr,ShThSb
100,Pieridae,Pieris_rapae,Pieris rapae,P,SsTsSb,Fl,1,3,N,0.020,0.063,10,4,0.118,BiAnHpWp,ShThSbLi,Le,NA,GlFl,NA,Sb,ShTh,NA,9,10,9.5,2,11,HfMiHc,ThSbExHnHf,Pa,BeShThSbNsHs,Dr,BeShGrThSb
101,Pieridae,Pieris_mannii,Pieris mannii,P,SsTsSb,Gl,3,3,N,0.018,0.003,2,3,0.408,HpWp,ShSb,Le,Ol,GlFl,NA,Se,ShTh,PsSh,5,10,7.5,2,11,Hf,ShThSbExHnHf,NA,RcSh,Dr,BeShThSb
